index,seconds_of_day,day_of_year,timestamp,totalHeatingPower.y,thermalZone.TAir,weaBus.HDifHor,weaDat.weaBus.HGloHor,roomTempUpperSetpoint,weaBus.HDirNor,weaBus.TDryBul,u
0,0,1,0,20634.573066504992,293.15,0.0,0.0,23.5,0.0,270.84,0.9126213592233009
1,300,1,300,22393.55781119051,298.61007452466777,0.0,0.0,23.5,0.0,270.82701932870367,0.9904173496406516
2,600,1,600,22385.005211135314,301.45178612876424,0.0,0.0,23.5,0.0,270.81392129629626,0.9900390871264669
3,900,1,900,22404.96127793075,302.7030059523019,0.0,0.0,23.5,0.0,270.80072187499997,0.9909216996595639
4,1200,1,1200,2548.6748164486703,303.29715811866987,0.0,0.0,23.5,0.0,270.787437037037,0.11272222922708366
5,1500,1,1500,188.15720121433137,297.4892179871464,0.0,0.0,23.5,0.0,270.7740827546296,0.00832177531206658
6,1800,1,1800,196.70980126952824,294.32828062623406,0.0,0.0,23.5,0.0,270.760675,0.008700037826251424
7,2100,1,2100,188.15720121433137,292.9065268276464,0.0,0.0,23.5,0.0,270.74722974537036,0.00832177531206658
8,2400,1,2400,21276.018070644757,292.1676641268592,0.0,0.0,23.5,0.0,270.73376296296294,0.9409910477871641
9,2700,1,2700,22564.60981229445,298.187295644263,0.0,0.0,23.5,0.0,270.72029062499996,0.9979825999243487
10,3000,1,3000,22481.93467842752,301.00168876514283,0.0,0.0,23.5,0.0,270.7068287037037,0.9943260622872273
11,3300,1,3300,22316.584410693737,302.1299201278292,0.0,0.0,23.5,0.0,270.6933931712963,0.987012987012988
12,3600,1,3600,22316.584410693737,302.55955740326857,0.0,0.0,23.5,0.0,270.67999999999995,0.987012987012988
13,3900,1,3900,22302.330077268383,302.7514845848493,0.0,0.0,23.5,0.0,270.6665203883495,0.9863825494893456
14,4200,1,4200,22285.22487715799,302.8365936015914,0.0,0.0,23.5,0.0,270.6528317152103,0.9856260244609759
15,4500,1,4500,22202.5497432911,302.8713345127179,0.0,0.0,23.5,0.0,270.63895922330096,0.9819694868238563
16,4800,1,4800,1901.5280789387746,302.861913219768,0.0,0.0,23.5,0.0,270.6249281553398,0.08410036565376383
17,5100,1,5100,162.49940104874074,296.61655707358716,0.0,0.0,23.5,0.0,270.6107637540453,0.007186987769512046
18,5400,1,5400,179.6046011591345,293.43241570246437,0.0,0.0,23.5,0.0,270.5964912621359,0.007943512797881734
