index,seconds_of_day,day_of_year,timestamp,thermalZone.TAir,totalHeatingPower.y,weaBus.HDirNor,weaBus.HDifHor,weaDat.weaBus.HGloHor,roomTempUpperSetpoint,weaBus.TDryBul,u
0,0,1,0,293.15,21024.908365284566,0.0,0.0,0.0,22.5,277.22999999999996,0.9126213592233008
1,300,1,300,297.0930621638672,22817.167064010842,0.0,0.0,0.0,22.5,277.25013364438655,0.9904173496406518
2,600,1,600,299.3517848033791,22808.452678117523,0.0,0.0,0.0,22.5,277.2697410300926,0.9900390871264669
3,900,1,900,300.4582958726582,22828.78624520191,0.0,0.0,0.0,22.5,277.2888818359375,0.9909216996595638
4,1200,1,1200,301.0280438349906,2596.8869962095077,0.0,0.0,0.0,22.5,277.30761574074074,0.11272222922708366
5,1500,1,1500,296.99060141661266,191.7164896530509,0.0,0.0,0.0,22.5,277.3260024233217,0.00832177531206658
6,1800,1,1800,294.5666671332685,200.4308755463714,0.0,0.0,0.0,22.5,277.3441015625,0.008700037826251424
7,2100,1,2100,293.368214250319,191.7164896530509,0.0,0.0,0.0,22.5,277.36197283709487,0.00832177531206658
8,2400,1,2400,292.7197282674177,21678.487307283605,0.0,0.0,0.0,22.5,277.3796759259259,0.9409910477871642
9,2700,1,2700,296.93620906737885,22991.45478187725,0.0,0.0,0.0,22.5,277.3972705078125,0.9979825999243486
10,3000,1,3000,299.14692519529655,22907.215718241794,0.0,0.0,0.0,22.5,277.41481626157406,0.9943260622872273
11,3300,1,3300,300.160543975191,22738.73759097096,0.0,0.0,0.0,22.5,277.43237286603005,0.9870129870129882
12,3600,1,3600,300.6095910853706,22738.73759097096,0.0,0.0,0.0,22.5,277.45,0.9870129870129882
13,3900,1,3900,300.83444810744993,22724.213614482065,0.0,0.0,0.0,22.5,277.46751139322913,0.9863825494893457
14,4200,1,4200,300.94864269048406,22706.784842695422,0.0,0.0,0.0,22.5,277.4846366003788,0.9856260244609759
15,4500,1,4500,301.0081152226849,22622.545779060005,0.0,0.0,0.0,22.5,277.50130903764205,0.9819694868238563
16,4800,1,4800,301.0242396761419,1937.498463614925,0.0,0.0,0.0,22.5,277.5174621212121,0.08410036565376383
17,5100,1,5100,296.5998195594844,165.5733319730894,0.0,0.0,0.0,22.5,277.5330292672822,0.007186987769512046
18,5400,1,5400,294.10770268248757,183.0021037597304,0.0,0.0,0.0,22.5,277.54794389204545,0.007943512797881734
19,5700,1,5700,292.8660508811804,174.2877178664099,0.0,0.0,0.0,22.5,277.56213941169506,0.0075652502836968906
20,6000,1,6000,292.19504461612513,20702.47608723171,0.0,0.0,0.0,22.5,277.57554924242424,0.8986256461984616
21,6300,1,6300,296.1933578498774,22468.591628278024,0.0,0.0,0.0,22.5,277.5881068004261,0.975286849073258
22,6600,1,6600,298.4019527562725,22471.49642357577,0.0,0.0,0.0,22.5,277.5997455018939,0.9754129365779851
23,6900,1,6900,299.4379943984669,22419.210108215848,0.0,0.0,0.0,22.5,277.6103987630208,0.9731433614928761
24,7200,1,7200,299.9295485250638,22395.97174583367,0.0,0.0,0.0,22.5,277.62,0.9721346614550503
25,7500,1,7500,300.1777901621115,22378.54297404703,0.0,0.0,0.0,22.5,277.6254863457207,0.9713781364266807
26,7800,1,7800,300.31296976810046,22337.875839878216,0.0,0.0,0.0,22.5,277.6246094389844,0.9696129113604853
27,8100,1,8100,300.3856071029165,22308.827886900468,0.0,0.0,0.0,22.5,277.61852445485255,0.968352036313202
28,8400,1,8400,300.4305963505365,22291.399115113825,0.0,0.0,0.0,22.5,277.60838656838655,0.9675955112848322
29,8700,1,8700,300.46294974943663,22384.352564642566,0.0,0.0,0.0,22.5,277.5953509546478,0.9716303114361368
30,9000,1,9000,300.51186034551216,22326.256658687107,0.0,0.0,0.0,22.5,277.5805727886978,0.9691085613415715
31,9300,1,9300,300.5347765131321,22384.352564642566,0.0,0.0,0.0,22.5,277.56520724559783,0.9716303114361368
32,9600,1,9600,300.5693007776648,2361.598577089854,0.0,0.0,0.0,22.5,277.5504095004095,0.10250914134409286
33,9900,1,9900,296.30075706411736,185.90689905750403,0.0,0.0,0.0,22.5,277.5373347281941,0.008069600302610022
34,10200,1,10200,293.8030148158659,209.1452614396919,0.0,0.0,0.0,22.5,277.5271381040131,0.009078300340436269
35,10500,1,10500,292.5701039974795,206.24046614191823,0.0,0.0,0.0,22.5,277.5209748029279,0.00895221283570798
36,10800,1,10800,291.9095453096538,21231.14883142651,0.0,0.0,0.0,22.5,277.52,0.92157357205901
37,11100,1,11100,296.0309589558259,22857.83419817966,0.0,0.0,0.0,22.5,277.5229166579774,0.9921825747068471
38,11400,1,11400,298.2757201330565,22793.92870162863,0.0,0.0,0.0,22.5,277.5274419558447,0.9894086496028244
39,11700,1,11700,299.32415839969485,22808.452678117523,0.0,0.0,0.0,22.5,277.533252393018,0.9900390871264669
40,12000,1,12000,299.84533365805436,22898.501332348475,0.0,0.0,0.0,22.5,277.5400244689133,0.9939477997730425
41,12300,1,12300,300.1410600240639,22933.358875921756,0.0,0.0,0.0,22.5,277.5474346829468,0.9954608498297819
42,12600,1,12600,300.31808393797206,23037.931506641602,0.0,0.0,0.0,22.5,277.55515953453454,1.0
43,12900,1,12900,300.453306269065,23026.312325450534,0.0,0.0,0.0,22.5,277.5628755230925,0.999495649981088
44,13200,1,13200,300.53881243245394,2172.7868827345783,0.0,0.0,0.0,22.5,277.5702591480369,0.09431345353675463
45,13500,1,13500,296.1299463507617,185.90689905750403,0.0,0.0,0.0,22.5,277.57698690878374,0.008069600302610022
46,13800,1,13800,293.61766302930636,191.7164896530509,0.0,0.0,0.0,22.5,277.5827353047492,0.00832177531206658
47,14100,1,14100,292.38405116739585,194.62128495082453,0.0,0.0,0.0,22.5,277.5871808353492,0.008447862816794867
48,14400,1,14400,291.7304111835786,194.62128495082453,0.0,0.0,0.0,22.5,277.59,0.008447862816794867
49,14700,1,14700,291.34845504145784,191.7164896530509,0.0,0.0,0.0,22.5,277.59077860037956,0.00832177531206658
50,15000,1,15000,291.0966474174735,180.09730846195677,0.0,0.0,0.0,22.5,277.58959193628493,0.007817425293153447
51,15300,1,15300,290.9125938530367,177.19251316418354,0.0,0.0,0.0,22.5,277.5868507543103,0.007691337788425178
52,15600,1,15600,290.7646052622373,21010.384388795715,0.0,0.0,0.0,22.5,277.5829658010501,0.9119909216996602
53,15900,1,15900,295.1075791324278,22744.547181566493,0.0,0.0,0.0,22.5,277.57834782309845,0.9872651620224442
54,16200,1,16200,297.504744535937,22788.119111033095,0.0,0.0,0.0,22.5,277.5734075670498,0.9891564745933684
55,16500,1,16500,298.6687222104775,22773.59513454424,0.0,0.0,0.0,22.5,277.56855577949835,0.9885260370697275
56,16800,1,16800,299.2566217187866,22735.83279567317,0.0,0.0,0.0,22.5,277.5642032070384,0.9868868995082593
57,17100,1,17100,299.5730340766065,22770.690339246452,0.0,0.0,0.0,22.5,277.56076059626434,0.9883999495649987
58,17400,1,17400,299.77479308572583,22811.357473415268,0.0,0.0,0.0,22.5,277.5586386937704,0.990165174631194
59,17700,1,17700,299.9200544526837,22886.882151157406,0.0,0.0,0.0,22.5,277.5582482461508,0.9934434497541305
60,18000,1,18000,300.0415678993721,2370.3129629831747,0.0,0.0,0.0,22.5,277.56,0.1028874038582777
61,18300,1,18300,295.7321301751442,191.7164896530509,0.0,0.0,0.0,22.5,277.56520589776335,0.00832177531206658
62,18600,1,18600,293.23641622111575,200.4308755463714,0.0,0.0,0.0,22.5,277.5744016275338,0.008700037826251424
63,18900,1,18900,292.0207078141555,183.0021037597304,0.0,0.0,0.0,22.5,277.58683355437665,0.007943512797881734
64,19200,1,19200,291.38329498017595,21077.19468064449,0.0,0.0,0.0,22.5,277.6017480433572,0.91489093430841
65,19500,1,19500,295.5004244436892,22660.308117931076,0.0,0.0,0.0,22.5,277.6183914595409,0.9836086243853246
66,19800,1,19800,297.7487604150424,22666.117708526606,0.0,0.0,0.0,22.5,277.6360101679929,0.9838607993947804
67,20100,1,20100,298.82673436693557,22645.784141442182,0.0,0.0,0.0,22.5,277.65385053377867,0.982978186861682
