index,seconds_of_day,day_of_year,timestamp,weaDat.weaBus.HGloHor,totalHeatingPower.y,weaBus.HDifHor,roomTempUpperSetpoint,thermalZone.TAir,weaBus.HDirNor,weaBus.TDryBul,u
0,0,1,0,0.0,26552.778935202652,0.0,22.5,293.15,0.0,270.84,0.9126213592233009
1,300,1,300,0.0,28816.25843271858,0.0,22.5,298.05012749861805,0.0,270.82701932870367,0.9904173496406518
2,600,1,600,0.0,28805.25285979711,0.0,22.5,300.8624220349216,0.0,270.81392129629626,0.9900390871264669
3,900,1,900,0.0,28830.932529947175,0.0,22.5,302.23554003647763,0.0,270.80072187499997,0.9909216996595638
4,1200,1,1200,0.0,3279.6607305983953,0.0,22.5,302.9349700548533,0.0,270.787437037037,0.11272222922708366
5,1500,1,1500,0.0,242.12260427236475,0.0,22.5,297.8129132096461,0.0,270.7740827546296,0.00832177531206658
6,1800,1,1800,0.0,253.12817719383588,0.0,22.5,294.73763982802564,0.0,270.760675,0.008700037826251424
7,2100,1,2100,0.0,242.12260427236475,0.0,22.5,293.205053541485,0.0,270.74722974537036,0.00832177531206658
8,2400,1,2400,0.0,27378.196904312987,0.0,22.5,292.36592698413136,0.0,270.73376296296294,0.9409910477871642
9,2700,1,2700,0.0,29036.369891148002,0.0,22.5,297.66898068764266,0.0,270.72029062499996,0.9979825999243487
10,3000,1,3000,0.0,28929.982686240415,0.0,22.5,300.43845897066393,0.0,270.7068287037037,0.9943260622872273
11,3300,1,3300,0.0,28717.20827642534,0.0,22.5,301.6975902132624,0.0,270.6933931712963,0.9870129870129881
12,3600,1,3600,0.0,28717.20827642534,0.0,22.5,302.24497291031855,0.0,270.67999999999995,0.9870129870129881
13,3900,1,3900,0.0,28698.86565488952,0.0,22.5,302.5063462503418,0.0,270.6665203883495,0.9863825494893456
14,4200,1,4200,0.0,28676.854509046578,0.0,22.5,302.6285857917332,0.0,270.6528317152103,0.9856260244609759
15,4500,1,4500,0.0,28570.46730413904,0.0,22.5,302.68198733100394,0.0,270.63895922330096,0.9819694868238563
16,4800,1,4800,0.0,2446.905712873749,0.0,22.5,302.6825338838755,0.0,270.6249281553398,0.08410036565376383
17,5100,1,5100,0.0,209.1058855079514,0.0,22.5,297.0688983751665,0.0,270.6107637540453,0.007186987769512046
18,5400,1,5400,0.0,231.11703135089363,0.0,22.5,293.90085161351294,0.0,270.5964912621359,0.007943512797881734
19,5700,1,5700,0.0,220.1114584294225,0.0,22.5,292.3161523058418,0.0,270.58213592233005,0.00756525028369689
20,6000,1,6000,0.0,26145.572737108218,0.0,22.5,291.4482040950657,0.0,270.56772297734625,0.8986256461984616
21,6300,1,6300,0.0,28376.035515859738,0.0,22.5,296.4802042185161,0.0,270.5532776699029,0.9752868490732581
22,6600,1,6600,0.0,28379.70404016686,0.0,22.5,299.25546227359246,0.0,270.5388252427184,0.9754129365779852
23,6900,1,6900,0.0,28313.67060263803,0.0,22.5,300.54391493047183,0.0,270.5243909385113,0.9731433614928761
24,7200,1,7200,0.0,28284.322408180793,0.0,22.5,301.1470974556864,0.0,270.51,0.9721346614550505
25,7500,1,7500,0.0,28262.31126233785,0.0,22.5,301.4428398142533,0.0,270.49370276227603,0.9713781364266807
26,7800,1,7800,0.0,28210.951922037668,0.0,22.5,301.5948812880154,0.0,270.47363669953876,0.9696129113604853
27,8100,1,8100,0.0,28174.26667896608,0.0,22.5,301.6720254284764,0.0,270.44995776316796,0.9683520363132019
28,8400,1,8400,0.0,28152.255533123138,0.0,22.5,301.71294274015776,0.0,270.42282190454347,0.9675955112848322
29,8700,1,8700,0.0,28269.648310952147,0.0,22.5,301.73837609206237,0.0,270.3923850750452,0.9716303114361367
30,9000,1,9000,0.0,28196.277824809025,0.0,22.5,301.7853434693911,0.0,270.35880322605306,0.9691085613415716
31,9300,1,9300,0.0,28269.648310952147,0.0,22.5,301.7993907602002,0.0,270.3222323089468,0.9716303114361367
32,9600,1,9600,0.0,2982.510261718675,0.0,22.5,301.8287917626567,0.0,270.28282827510634,0.10250914134409286
33,9900,1,9900,0.0,234.78555565805084,0.0,22.5,296.41665386498727,0.0,270.2407470759116,0.008069600302610022
34,10200,1,10200,0.0,264.133750115307,0.0,22.5,293.25320686396856,0.0,270.19614466274237,0.009078300340436269
35,10500,1,10500,0.0,260.46522580814974,0.0,22.5,291.6841681140776,0.0,270.14917698697855,0.00895221283570798
36,10800,1,10800,0.0,26813.244161010833,0.0,22.5,290.83706565247155,0.0,270.09999999999997,0.92157357205901
37,11100,1,11100,0.0,28867.617773018763,0.0,22.5,296.0237334767383,0.0,270.03340929133856,0.9921825747068471
38,11400,1,11400,0.0,28786.91023826129,0.0,22.5,298.8461144872078,0.0,269.93795695538057,0.9894086496028244
39,11700,1,11700,0.0,28805.25285979711,0.0,22.5,300.1503560881704,0.0,269.8194337007874,0.9900390871264669
40,12000,1,12000,0.0,28918.977113318942,0.0,22.5,300.7887088348568,0.0,269.68363023622044,0.9939477997730425
41,12300,1,12300,0.0,28962.99940500483,0.0,22.5,301.14016232708434,0.0,269.53633727034116,0.9954608498297819
42,12600,1,12600,0.0,29095.06628006248,0.0,22.5,301.3404669687814,0.0,269.383345511811,1.0
43,12900,1,12900,0.0,29080.392182833886,0.0,22.5,301.48602309911035,0.0,269.2304456692913,0.999495649981088
44,13200,1,13200,0.0,2744.0561817534694,0.0,22.5,301.5712324943993,0.0,269.0834284514435,0.09431345353675463
45,13500,1,13500,0.0,234.78555565805084,0.0,22.5,295.9729384065451,0.0,268.9480845669291,0.008069600302610022
46,13800,1,13800,0.0,242.12260427236475,0.0,22.5,292.7802916734274,0.0,268.83020472440944,0.00832177531206658
47,14100,1,14100,0.0,245.79112857952197,0.0,22.5,291.19703791866226,0.0,268.7355796325459,0.008447862816794867
48,14400,1,14400,0.0,245.79112857952197,0.0,22.5,290.34876542475826,0.0,268.66999999999996,0.008447862816794867
49,14700,1,14700,0.0,242.12260427236475,0.0,22.5,289.84337794647,0.0,268.6222788100137,0.00832177531206658
50,15000,1,15000,0.0,227.4485070437364,0.0,22.5,289.5043707091783,0.0,268.5773360768175,0.007817425293153447
51,15300,1,15300,0.0,223.77998273657974,0.0,22.5,289.24820698454005,0.0,268.5351230555555,0.007691337788425178
52,15600,1,15600,0.0,26534.436313666884,0.0,22.5,289.0382365764345,0.0,268.49559100137174,0.9119909216996601
53,15900,1,15900,0.0,28724.54532503964,0.0,22.5,294.50274372751693,0.0,268.45869116941014,0.9872651620224442
54,16200,1,16200,0.0,28779.573189646995,0.0,22.5,297.5067757092533,0.0,268.42437481481477,0.9891564745933684
55,16500,1,16500,0.0,28761.230568111223,0.0,22.5,298.95505271055583,0.0,268.39259319272975,0.9885260370697275
56,16800,1,16800,0.0,28713.539752118166,0.0,22.5,299.67782163213326,0.0,268.363297558299,0.9868868995082593
57,17100,1,17100,0.0,28757.56204380405,0.0,22.5,300.05644926426066,0.0,268.33643916666665,0.9883999495649987
58,17400,1,17400,0.0,28808.921384104233,0.0,22.5,300.2897330715087,0.0,268.3119692729767,0.990165174631194
59,17700,1,17700,0.0,28904.303016090347,0.0,22.5,300.45253021805655,0.0,268.2898391323731,0.9934434497541305
60,18000,1,18000,0.0,2993.515834640146,0.0,22.5,300.5875765274513,0.0,268.27,0.1028874038582777
61,18300,1,18300,0.0,242.12260427236475,0.0,22.5,295.12641632019415,0.0,268.25040019393595,0.00832177531206658
62,18600,1,18600,0.0,253.12817719383588,0.0,22.5,291.9574114562884,0.0,268.22948181259164,0.008700037826251424
63,18900,1,18900,0.0,231.11703135089363,0.0,22.5,290.40151245798995,0.0,268.2079367816092,0.007943512797881734
64,19200,1,19200,0.0,26618.812372731478,0.0,22.5,289.57308859215163,0.0,268.1864570266307,0.91489093430841
65,19500,1,19500,0.0,28618.1581201321,0.0,22.5,294.75388297109635,0.0,268.1657344732983,0.9836086243853245
66,19800,1,19800,0.0,28625.495168746398,0.0,22.5,297.5790361267858,0.0,268.14646104725415,0.9838607993947805
67,20100,1,20100,0.0,28599.815498596283,0.0,22.5,298.9205078329969,0.0,268.12932867414025,0.982978186861682
68,20400,1,20400,0.0,2402.8834211878643,0.0,22.5,299.5843493442745,0.0,268.11502927959884,0.08258731559702445
69,20700,1,20700,0.0,220.1114584294225,0.0,22.5,294.3184457892657,0.0,268.10425478927203,0.00756525028369689
70,21000,1,21000,0.0,220.1114584294225,0.0,22.5,291.3723425189239,0.0,268.0976971288018,0.00756525028369689
71,21300,1,21300,0.0,231.11703135089363,0.0,22.5,289.9296990837574,0.0,268.09604822383045,0.007943512797881734
72,21600,1,21600,0.0,26119.893066958157,0.0,22.5,289.17620906737926,0.0,268.09999999999997,0.8977430336653649
73,21900,1,21900,0.0,28618.1581201321,0.0,22.5,294.2952794430812,0.0,268.10772019382466,0.9836086243853245
74,22200,1,22200,0.0,28691.528606275224,0.0,22.5,297.20177155938575,0.0,268.11681428893394,0.9861303744798896
