index,seconds_of_day,day_of_year,timestamp,totalHeatingPower.y,thermalZone.TAir,weaBus.HDifHor,weaDat.weaBus.HGloHor,roomTempUpperSetpoint,weaBus.HDirNor,weaBus.TDryBul,u
0,0,1,0,20068.381195098675,293.15,0.0,0.0,21.5,0.0,277.22999999999996,0.912621359223301
1,300,1,300,21779.1011726306,296.9207716579193,0.0,0.0,21.5,0.0,277.25013364438655,0.9904173496406518
2,600,1,600,21770.78324729414,299.0157337708526,0.0,0.0,21.5,0.0,277.2697410300926,0.990039087126467
3,900,1,900,21790.191739745853,299.9934848668917,0.0,0.0,21.5,0.0,277.2888818359375,0.9909216996595637
4,1200,1,1200,2478.7417502650214,300.4702036280343,0.0,0.0,21.5,0.0,277.30761574074074,0.11272222922708365
5,1500,1,1500,182.9943574021157,296.6219629020084,0.0,0.0,21.5,0.0,277.3260024233217,0.00832177531206658
6,1800,1,1800,191.3122827385755,294.38854527579315,0.0,0.0,21.5,0.0,277.3441015625,0.008700037826251424
7,2100,1,2100,182.9943574021157,293.3659447151192,0.0,0.0,21.5,0.0,277.36197283709487,0.00832177531206658
8,2400,1,2400,20692.22559533316,292.87751254077887,0.0,0.0,21.5,0.0,277.3796759259259,0.9409910477871642
9,2700,1,2700,21945.459679359796,296.97769194698185,0.0,0.0,21.5,0.0,277.3972705078125,0.9979825999243487
10,3000,1,3000,21865.05306777399,299.1075284747096,0.0,0.0,21.5,0.0,277.41481626157406,0.9943260622872273
11,3300,1,3300,21704.23984460246,300.0693751415814,0.0,0.0,21.5,0.0,277.43237286603005,0.9870129870129881
12,3600,1,3600,21704.23984460246,300.4873016633522,0.0,0.0,21.5,0.0,277.45,0.9870129870129881
13,3900,1,3900,21690.376635708333,300.6945473143709,0.0,0.0,21.5,0.0,277.46751139322913,0.9863825494893455
14,4200,1,4200,21673.740785035418,300.8026633810551,0.0,0.0,21.5,0.0,277.4846366003788,0.985626024460976
15,4500,1,4500,21593.33417344965,300.86496321779146,0.0,0.0,21.5,0.0,277.50130903764205,0.9819694868238563
16,4800,1,4800,1849.3520664728978,300.8921855080123,0.0,0.0,21.5,0.0,277.5174621212121,0.08410036565376383
17,5100,1,5100,158.04058139273627,296.73745539144323,0.0,0.0,21.5,0.0,277.5330292672822,0.007186987769512046
18,5400,1,5400,174.6764320656559,294.4810256235995,0.0,0.0,21.5,0.0,277.54794389204545,0.007943512797881734
19,5700,1,5700,166.35850672919608,293.4384884889702,0.0,0.0,21.5,0.0,277.56213941169506,0.0075652502836968906
20,6000,1,6000,19760.61795764966,292.9340495113645,0.0,0.0,21.5,0.0,277.57554924242424,0.8986256461984617
21,6300,1,6300,21446.38415917221,296.82623271658696,0.0,0.0,21.5,0.0,277.5881068004261,0.975286849073258
22,6600,1,6600,21449.156800951,298.9465006091662,0.0,0.0,21.5,0.0,277.5997455018939,0.9754129365779851
23,6900,1,6900,21399.249248932243,299.9159525184322,0.0,0.0,21.5,0.0,277.6103987630208,0.9731433614928761
24,7200,1,7200,21377.068114701695,300.3561167625287,0.0,0.0,21.5,0.0,277.62,0.9721346614550503
25,7500,1,7500,21360.432264028776,300.56497144430443,0.0,0.0,21.5,0.0,277.6254863457207,0.9713781364266807
26,7800,1,7800,21321.61527912531,300.67082365233546,0.0,0.0,21.5,0.0,277.6246094389844,0.9696129113604854
27,8100,1,8100,21293.8888613371,300.7234519694405,0.0,0.0,21.5,0.0,277.61852445485255,0.968352036313202
28,8400,1,8400,21277.25301066418,300.7550220047912,0.0,0.0,21.5,0.0,277.60838656838655,0.9675955112848322
29,8700,1,8700,21365.977547586404,300.778991872278,0.0,0.0,21.5,0.0,277.5953509546478,0.9716303114361368
30,9000,1,9000,21310.524712010018,300.82150367737665,0.0,0.0,21.5,0.0,277.5805727886978,0.9691085613415716
31,9300,1,9300,21365.977547586404,300.84140613207313,0.0,0.0,21.5,0.0,277.56520724559783,0.9716303114361368
32,9600,1,9600,2254.157766180607,300.87392990105747,0.0,0.0,21.5,0.0,277.5504095004095,0.10250914134409286
33,9900,1,9900,177.44907384447595,296.851449799721,0.0,0.0,21.5,0.0,277.5373347281941,0.008069600302610022
34,10200,1,10200,199.6302080750353,294.57209269834703,0.0,0.0,21.5,0.0,277.5271381040131,0.009078300340436269
35,10500,1,10500,196.8575662962152,293.51891086691717,0.0,0.0,21.5,0.0,277.5209748029279,0.00895221283570798
36,10800,1,10800,20265.238761394914,293.00882491274155,0.0,0.0,21.5,0.0,277.52,0.92157357205901
37,11100,1,11100,21817.918157534066,296.997923788113,0.0,0.0,21.5,0.0,277.5229166579774,0.9921825747068471
38,11400,1,11400,21756.920038400014,299.1336000703472,0.0,0.0,21.5,0.0,277.5274419558447,0.9894086496028244
39,11700,1,11700,21770.78324729414,300.09631392019935,0.0,0.0,21.5,0.0,277.533252393018,0.990039087126467
40,12000,1,12000,21856.73514243753,300.5470240762742,0.0,0.0,21.5,0.0,277.5400244689133,0.9939477997730424
41,12300,1,12300,21890.006843783372,300.7839221413773,0.0,0.0,21.5,0.0,277.5474346829468,0.9954608498297819
42,12600,1,12600,21989.82194782089,300.9139135177701,0.0,0.0,21.5,0.0,277.55515953453454,1.0
43,12900,1,12900,21978.731380705634,301.0073418349044,0.0,0.0,21.5,0.0,277.5628755230925,0.9994956499810881
44,13200,1,13200,2073.9360505573127,301.0622333072576,0.0,0.0,21.5,0.0,277.5702591480369,0.09431345353675463
45,13500,1,13500,177.44907384447595,296.8859368275738,0.0,0.0,21.5,0.0,277.57698690878374,0.008069600302610022
46,13800,1,13800,182.9943574021157,294.57499398798774,0.0,0.0,21.5,0.0,277.5827353047492,0.00832177531206658
47,14100,1,14100,185.76699918093576,293.50537309718663,0.0,0.0,21.5,0.0,277.5871808353492,0.008447862816794867
48,14400,1,14400,185.76699918093576,292.9899702235021,0.0,0.0,21.5,0.0,277.59,0.008447862816794867
49,14700,1,14700,182.9943574021157,292.72535565131324,0.0,0.0,21.5,0.0,277.59077860037956,0.00832177531206658
50,15000,1,15000,171.9037902868358,292.5736891890134,0.0,0.0,21.5,0.0,277.58959193628493,0.007817425293153447
51,15300,1,15300,169.13114850801614,292.4721709397265,0.0,0.0,21.5,0.0,277.5868507543103,0.007691337788425177
52,15600,1,15600,20054.517986204588,292.3952794230132,0.0,0.0,21.5,0.0,277.5829658010501,0.9119909216996601
53,15900,1,15900,21709.78512816009,296.5442581485162,0.0,0.0,21.5,0.0,277.57834782309845,0.9872651620224442
54,16200,1,16200,21751.37475484239,298.77548720485714,0.0,0.0,21.5,0.0,277.5734075670498,0.9891564745933684
55,16500,1,16500,21737.5115459483,299.8061339179033,0.0,0.0,21.5,0.0,277.56855577949835,0.9885260370697275
56,16800,1,16800,21701.467202823627,300.28417913685666,0.0,0.0,21.5,0.0,277.5642032070384,0.9868868995082593
57,17100,1,17100,21734.738904169466,300.51055630735806,0.0,0.0,21.5,0.0,277.56076059626434,0.9883999495649987
58,17400,1,17400,21773.555889072933,300.6377031346923,0.0,0.0,21.5,0.0,277.5586386937704,0.990165174631194
59,17700,1,17700,21845.644575322276,300.7209619011529,0.0,0.0,21.5,0.0,277.5582482461508,0.9934434497541305
60,18000,1,18000,2262.4756915170665,300.7896493497078,0.0,0.0,21.5,0.0,277.56,0.1028874038582777
61,18300,1,18300,182.9943574021157,296.6893371520391,0.0,0.0,21.5,0.0,277.56520589776335,0.00832177531206658
62,18600,1,18600,191.3122827385755,294.3782984149903,0.0,0.0,21.5,0.0,277.5744016275338,0.008700037826251424
63,18900,1,18900,174.6764320656559,293.3115692289513,0.0,0.0,21.5,0.0,277.58683355437665,0.007943512797881734
64,19200,1,19200,20118.288747117433,292.7945989410735,0.0,0.0,21.5,0.0,277.6017480433572,0.91489093430841
65,19500,1,19500,21629.378516574325,296.7568038573335,0.0,0.0,21.5,0.0,277.6183914595409,0.9836086243853247
66,19800,1,19800,21634.92380013195,298.87419241883026,0.0,0.0,21.5,0.0,277.6360101679929,0.9838607993947805
67,20100,1,20100,21615.515307680198,299.8450693126052,0.0,0.0,21.5,0.0,277.65385053377867,0.982978186861682
68,20400,1,20400,1816.0803651270587,300.29491038721824,0.0,0.0,21.5,0.0,277.6711589219635,0.08258731559702445
69,20700,1,20700,166.35850672919608,296.31956533344885,0.0,0.0,21.5,0.0,277.6871816976127,0.0075652502836968906
70,21000,1,21000,166.35850672919608,294.15706465530553,0.0,0.0,21.5,0.0,277.7011652257916,0.0075652502836968906
71,21300,1,21300,174.6764320656559,293.1521844399319,0.0,0.0,21.5,0.0,277.7123558715656,0.007943512797881734
72,21600,1,21600,19741.209465197946,292.67177774825973,0.0,0.0,21.5,0.0,277.71999999999997,0.8977430336653648
73,21900,1,21900,21629.378516574325,296.57470460554214,0.0,0.0,21.5,0.0,277.72327103720215,0.9836086243853247
74,22200,1,22200,21684.831352150708,298.7424235589798,0.0,0.0,21.5,0.0,277.72245282629336,0.9861303744798896
75,22500,1,22500,21751.37475484239,299.7469079382558,0.0,0.0,21.5,0.0,277.7184573578595,0.9891564745933684
76,22800,1,22800,2467.6511831497405,300.22999157262143,0.0,0.0,21.5,0.0,277.71219662248643,0.11221787920817047
77,23100,1,23100,171.9037902868358,296.38126530737713,0.0,0.0,21.5,0.0,277.7045826107601,0.007817425293153447
78,23400,1,23400,177.44907384447595,294.1372388597897,0.0,0.0,21.5,0.0,277.6965273132664,0.008069600302610022
79,23700,1,23700,180.2217156232956,293.1001508847363,0.012419871794871789,0.01375111437158501,21.5,0.0,277.6889427205912,0.008195687807338292
80,24000,1,24000,20329.009522307762,292.60323565755397,0.05021367521367518,0.055054557310814184,21.5,0.0,277.6827408233205,0.9244735846677601
81,24300,1,24300,21765.237963736472,296.6208546021893,0.11418269230769225,0.12398547855439872,21.5,0.0,277.67883361204014,0.9897869121170091
82,24600,1,24600,21743.056829505927,298.7472641599433,0.20512820512820504,0.22061902783904985,21.5,0.0,277.67813307733593,0.9887782120791836
83,24900,1,24900,21795.737023303518,299.71770787290603,0.32385149572649563,0.3450303549014787,21.5,0.0,277.68155120979395,0.9911738746690214
84,25200,1,25200,21834.554008206986,300.18407830064035,0.471153846153846,0.49729460947839665,21.5,0.0,277.69,0.9929390997352169
85,25500,1,25500,21853.962500658738,300.42117025483685,0.6478365384615382,0.6774869413065147,21.5,0.0,277.7015352099591,0.9938217122683154
86,25800,1,25800,21926.05118690804,300.5503344300007,0.8547008547008544,0.8856825001225441,21.5,0.0,277.7135953177257,0.9970999873912499
87,26100,1,26100,21931.59647046567,300.64214877337764,1.0925480769230766,1.1219564356631961,21.5,0.0,277.72616638795984,0.997352162400706
88,26400,1,26400,21909.415336235124,300.70294594763124,1.3621794871794868,1.3863838976651819,21.5,0.0,277.73923448532145,0.9963434623628805
89,26700,1,26700,21951.00496291742,300.7433650390437,1.664396367521367,1.6790400358652129,21.5,0.0,277.75278567447043,0.9982347749338046
90,27000,1,27000,21973.18609714797,300.78754338313917,2.0,2.0,21.5,0.0,277.7668060200669,0.9992434749716304
91,27300,1,27300,21870.598351331657,300.8292682157688,2.6579415954415957,2.6163510591699173,21.5,0.0,277.7812815867707,0.994578237296685
92,27600,1,27600,21207.93696619367,300.844295545722,3.883190883190883,3.760997862058524,21.5,0.0,277.7961984392419,0.9644433236666247
93,27900,1,27900,21091.48601148323,300.7278103961592,5.610576923076923,5.382741627777309,21.5,0.0,277.81154264214047,0.9591476484680368
94,28200,1,28200,21687.60399392954,300.6670188698095,7.774928774928775,7.43038357543776,21.5,0.0,277.8273002601263,0.9862564619846185
95,28500,1,28500,21698.6945610448,300.78654022095594,10.3110754985755,9.852724924151367,21.5,0.0,277.8434573578595,0.9867608120035306
96,28800,1,28800,21740.284187727095,300.8653393006929,13.153846153846155,12.598566893029616,21.5,0.0,277.85999999999996,0.9886521245744547
97,29100,1,29100,21754.147396621218,300.937021386225,16.238069800569804,15.616710701184,21.5,0.0,277.87678088115587,0.9892825620980972
98,29400,1,29400,21784.646456188224,301.0035444696287,19.4985754985755,18.855957567726005,21.5,0.0,277.8936670736671,0.9906695246501076
99,29700,1,29700,21792.964381524685,301.06755694238285,22.87019230769231,22.265108711767116,21.5,0.0,277.9106662087912,0.9910477871642925
100,30000,1,30000,21787.419097967057,301.118317079855,26.287749287749293,25.792965352418822,21.5,0.0,277.9277859177859,0.9907956121548365
101,30300,1,30300,21798.509665082314,301.1593962910696,29.686075498575505,29.38832870879263,21.5,0.0,277.9450338319088,0.9912999621737486
102,30600,1,30600,21809.600232197605,301.1989979644255,33.0,33.0,21.5,0.0,277.9624175824176,0.9918043121926623
103,30900,1,30900,21876.143634889282,301.2391641914615,36.73987268518518,36.91933597958039,21.5,0.11260661999194657,277.9799448005698,0.994830412306141
104,31200,1,31200,2392.789855121602,301.29414906312394,41.32175925925926,41.39321314677098,21.5,0.44230690098081576,277.9976231176231,0.10881351658050688
105,31500,1,31500,180.2217156232956,297.218367288053,46.5390625,46.30371233922988,21.5,0.976921474486152,278.01546016483513,0.008195687807338292
106,31800,1,31800,171.9037902868358,294.9016866124637,52.18518518518518,51.532914394615204,21.5,1.7042709720274993,278.03346357346356,0.007817425293153447
107,32100,1,32100,177.44907384447595,293.8382954281973,58.05353009259259,56.96290015058506,21.5,2.612176025124403,278.051640974766,0.008069600302610022
108,32400,1,32400,174.6764320656559,293.3386884656043,63.9375,62.47575044479753,21.5,3.688457265296406,278.07,0.007943512797881734
109,32700,1,32700,171.9037902868358,293.0905372081641,69.63049768518519,67.95354611491075,21.5,4.920935324063053,278.0895046916336,0.007817425293153447
110,33000,1,33000,160.81322317155633,292.95701333331823,74.92592592592592,73.27836799858284,21.5,6.297430832943889,278.1108540013227,0.007313075274240332
111,33300,1,33300,166.35850672919608,292.8724509421482,79.6171875,78.33229693347187,21.5,7.805764423458457,278.1336579241071,0.0075652502836968906
112,33600,1,33600,169.13114850801614,292.8125429992981,83.49768518518518,82.99741375723596,21.5,9.433756727126303,278.1575264550264,0.007691337788425177
113,33900,1,33900,177.44907384447595,292.76173983466293,86.36082175925927,87.15579930753324,21.5,11.16922837546697,278.1820695891204,0.008069600302610022
114,34200,1,34200,158.04058139273627,292.7144809001458,88.0,90.6895344220218,21.5,13.0,278.2068973214285,0.007186987769512046
115,34500,1,34500,166.35850672919608,292.6628625965332,88.71610725308642,93.75224591961148,21.5,16.35747547901862,278.23161964699074,0.0075652502836968906
116,34800,1,34800,166.35850672919608,292.6223416550881,88.99922839506173,96.5822999292825,21.5,22.350242137669785,278.2558465608465,0.0075652502836968906
117,35100,1,35100,158.04058139273627,292.598581502461,88.9265625,99.18888625379844,21.5,30.481895777753614,278.2791880580357,0.007186987769512046
118,35400,1,35400,185.76699918093576,292.5688186895112,88.57530864197531,101.58119469592293,21.5,40.256032201070255,278.30125413359787,0.008447862816794867
119,35700,1,35700,163.585864950376,292.5445541164552,88.02266589506172,103.76841505841959,21.5,51.17624720941983,278.32165478257275,0.0074391627789686015
120,36000,1,36000,177.44907384447595,292.5141982995565,87.34583333333333,105.75973714405201,21.5,62.746136604602455,278.34,0.008069600302610022
121,36300,1,36300,163.585864950376,292.50033754469393,86.62201003086419,107.5643507555838,21.5,74.46929618841828,278.3555568576389,0.0074391627789686015
122,36600,1,36600,171.9037902868358,292.4911766835744,85.9283950617284,109.1914456957786,21.5,85.84932176266744,278.3681770833333,0.007817425293153447
123,36900,1,36900,191.3122827385755,292.475454002413,85.3421875,110.65021176740001,21.5,96.38980912915008,278.37834765624996,0.008700037826251424
124,37200,1,37200,19569.305674911084,292.45890636239403,84.94058641975309,111.94983877321162,21.5,105.5943540896663,278.38655555555556,0.8899256083722101
125,37500,1,37500,21263.38980177009,296.5449914390983,84.80079089506172,113.09951651597706,21.5,112.96655244601622,278.3932877604166,0.9669650737611913
126,37800,1,37800,21307.752070231185,298.76782036395065,85.0,114.10843479845995,21.5,118.01,278.39903124999995,0.9689824738368428
127,38100,1,38100,21357.659622249943,299.8062520832051,85.39974989357174,114.9990307537589,21.5,121.34194559342943,278.4042730034722,0.9712520489219518
128,38400,1,38400,2157.1153039219103,300.3124022514785,85.80885483184333,115.78574216763936,21.5,123.91662362952994,278.4095,0.09809607867860307
129,38700,1,38700,180.2217156232956,296.5003555061047,86.22543103448275,116.46575982186515,21.5,125.74310825222227,278.41519921875,0.008195687807338292
130,39000,1,39000,188.53964095975545,294.35037632348684,86.64759472115794,117.03627449820011,21.5,126.8304736054271,278.42185763888887,0.008573950321523137
131,39300,1,39300,171.9037902868358,293.36529823721946,87.07346211153683,117.49447697840809,21.5,127.18779383306513,278.4299622395833,0.007817425293153447
132,39600,1,39600,188.53964095975545,292.89407378991,87.50114942528735,117.83755804425289,21.5,126.82414307905708,278.44,0.008573950321523137
133,39900,1,39900,177.44907384447595,292.66180682793885,87.92877288207748,118.06270847749838,21.5,125.74859548732363,278.4525453042328,0.008069600302610022
134,40200,1,40200,169.13114850801614,292.5337949858198,88.35444870157514,118.16711905990837,21.5,123.97022520178548,278.4675132275132,0.007691337788425177
