,UExt,URoof,UFloor,UWin,heatCapacity_wall,fAWin_south,fAWin_east,fAWin_west,fAWin_north,zone_length,weaDat.fileName,changes,UpperSP,LowerSP
0,0.1,0.1,0.1,1.1,30000,0.15,0.15,0.15,0.15,6,Munich,[],23.5,22.0
1,0.1,0.1,0.1,1.1,30000,0.15,0.15,0.15,0.15,6,Bratislava,[],23.0,19.0
2,0.1,0.1,0.1,1.1,30000,0.15,0.15,0.15,0.15,6,Amsterdam,[],21.5,20.5
3,0.1,0.1,0.1,1.1,30000,0.15,0.15,0.15,0.15,9,Munich,[],22.0,18.5
4,0.1,0.1,0.1,1.1,30000,0.15,0.15,0.15,0.15,9,Bratislava,[],22.0,20.0
5,0.1,0.1,0.1,1.1,30000,0.15,0.15,0.15,0.15,9,Amsterdam,[],21.0,17.5
6,0.1,0.1,0.1,1.1,30000,0.15,0.15,0.15,0.15,12,Munich,[],22.5,22.0
7,0.1,0.1,0.1,1.1,30000,0.15,0.15,0.15,0.15,12,Bratislava,[],23.5,23.0
8,0.1,0.1,0.1,1.1,30000,0.15,0.15,0.15,0.15,12,Amsterdam,[],23.5,20.5
9,0.1,0.1,0.1,1.1,30000,0.2,0.2,0.2,0.2,6,Munich,[],23.0,23.0
10,0.1,0.1,0.1,1.1,30000,0.2,0.2,0.2,0.2,6,Bratislava,[],22.0,19.5
11,0.1,0.1,0.1,1.1,30000,0.2,0.2,0.2,0.2,6,Amsterdam,[],21.5,21.5
12,0.1,0.1,0.1,1.1,30000,0.2,0.2,0.2,0.2,9,Munich,[],21.0,21.0
13,0.1,0.1,0.1,1.1,30000,0.2,0.2,0.2,0.2,9,Bratislava,[],21.0,18.5
14,0.1,0.1,0.1,1.1,30000,0.2,0.2,0.2,0.2,9,Amsterdam,[],20.5,20.5
15,0.1,0.1,0.1,1.1,30000,0.2,0.2,0.2,0.2,12,Munich,[],23.0,23.0
16,0.1,0.1,0.1,1.1,30000,0.2,0.2,0.2,0.2,12,Bratislava,[],20.5,19.0
17,0.1,0.1,0.1,1.1,30000,0.2,0.2,0.2,0.2,12,Amsterdam,[],23.5,21.5
18,0.1,0.1,0.1,1.1,165000,0.15,0.15,0.15,0.15,6,Munich,[],22.0,18.5
