parameter,bin_idx,x,y
p_infect,0,0.0,3.999791732427309e-33
p_infect,1,0.01,6.574134105868052e-33
p_infect,2,0.02,1.5995711298607568e-32
p_infect,3,0.03,9.268394411109219e-32
p_infect,4,0.04,2.9821276612734498e-30
p_infect,5,0.05,1.3926073649826472e-27
p_infect,6,0.06,1.4335805514342325e-23
p_infect,7,0.07,1.1486855562099499e-18
p_infect,8,0.08,8.107097578796483e-14
p_infect,9,0.09,1.0056911790394303e-09
p_infect,10,0.1,1.4774336166740496e-06
p_infect,11,0.11,0.0003363694828107
p_infect,12,0.12,0.0177841377262432
p_infect,13,0.13,0.303940759896362
p_infect,14,0.14,2.13510718213148
p_infect,15,0.15,7.420647016721066
p_infect,16,0.16,14.86698872674893
p_infect,17,0.17,19.53239594990092
p_infect,18,0.18,18.75119482857124
p_infect,19,0.19,14.381713284980988
p_infect,20,0.2,9.49908802794026
p_infect,21,0.21,5.719308621230941
p_infect,22,0.22,3.259472071969129
p_infect,23,0.23,1.8110196187259329
p_infect,24,0.24,1.0048021624380024
p_infect,25,0.25,0.5610038163420996
p_infect,26,0.26,0.3146018591176776
p_infect,27,0.27,0.1771373526340076
p_infect,28,0.28,0.0999241639155488
p_infect,29,0.29,0.0570758529747131
p_infect,30,0.3,0.0335050341916176
p_infect,31,0.31,0.0200137708526439
p_infect,32,0.32,0.0120435659013457
p_infect,33,0.33,0.0074305159716202
p_infect,34,0.34,0.00475495978345
p_infect,35,0.35,0.0030862003738926
p_infect,36,0.36,0.0019747005360996
p_infect,37,0.37,0.0012395219914286
p_infect,38,0.38,0.0007773065894104
p_infect,39,0.39,0.0004989320447249
p_infect,40,0.4,0.0003329906019385
p_infect,41,0.41,0.0002312228904984
p_infect,42,0.42,0.0001644489775604
p_infect,43,0.43,0.0001172883167715
p_infect,44,0.44,8.272114889806205e-05
p_infect,45,0.45,5.742380572499337e-05
p_infect,46,0.46,3.9349444165648325e-05
p_infect,47,0.47,2.681628090789285e-05
p_infect,48,0.48,1.831130760498624e-05
p_infect,49,0.49,1.2674172106672166e-05
p_infect,50,0.5,9.146824860937902e-06
p_infect,51,0.51,7.129091704443776e-06
p_infect,52,0.52,5.992515361920311e-06
p_infect,53,0.53,5.176643548161575e-06
p_infect,54,0.54,4.375145103317282e-06
p_infect,55,0.55,3.5555364496096093e-06
p_infect,56,0.56,2.8101151109812885e-06
p_infect,57,0.5700000000000001,2.2048058662692425e-06
p_infect,58,0.58,1.7338445773471446e-06
p_infect,59,0.59,1.3572312070682487e-06
p_infect,60,0.6,1.045517285729137e-06
p_infect,61,0.61,7.919804612090374e-07
p_infect,62,0.62,5.991135569417403e-07
p_infect,63,0.63,4.632420714484224e-07
p_infect,64,0.64,3.707178327414535e-07
p_infect,65,0.65,3.0385424083798e-07
p_infect,66,0.66,2.487077109111537e-07
p_infect,67,0.67,1.9882511132431678e-07
p_infect,68,0.68,1.542925032362793e-07
p_infect,69,0.6900000000000001,1.1839144860038104e-07
p_infect,70,0.7000000000000001,9.42617651367028e-08
p_infect,71,0.71,8.281146415872004e-08
p_infect,72,0.72,8.205167403527272e-08
p_infect,73,0.73,8.768105865998925e-08
p_infect,74,0.74,9.451246771298001e-08
p_infect,75,0.75,9.812705371501993e-08
p_infect,76,0.76,9.606183431980026e-08
p_infect,77,0.77,8.812550222809046e-08
p_infect,78,0.78,7.588274584171111e-08
p_infect,79,0.79,6.172862055528757e-08
p_infect,80,0.8,4.799891106275391e-08
p_infect,81,0.81,3.640611529491849e-08
p_infect,82,0.8200000000000001,2.7834193472072943e-08
p_infect,83,0.8300000000000001,2.2398060037082863e-08
p_infect,84,0.84,1.9635412659328685e-08
p_infect,85,0.85,1.874566220336167e-08
p_infect,86,0.86,1.8824549451973244e-08
p_infect,87,0.87,1.906475713510796e-08
p_infect,88,0.88,1.889281981921628e-08
p_infect,89,0.89,1.8025335797973783e-08
p_infect,90,0.9,1.6446443396099393e-08
p_infect,91,0.91,1.4329124126538198e-08
p_infect,92,0.92,1.1936987858615281e-08
p_infect,93,0.93,9.536363466594434e-09
